Unnamed: 0,번호,제목,저자,출판사,출판일
,94,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,"Leevy, Joffrey L.",Springer Nature,2020
,95,A Perspective on the Challenges and Opportunities for Privacy-Aware Big Transportation Data,"Badu-Marfo, Godwin",Springer Nature,2019
,96,Understanding the development trends of big data technologies: an analysis of patents and the cited scholarly works,"Saheb, Tahereh",Springer Nature,2020
,97,Guest Editorial: Big Data Analytics and the Web,"Sheng, M.; Vasilakos, A. V.; Yu, Q.; You, L.",unknown,2016
,98,Guest Editorial: Big Data Infrastructure I,"Chen, J.; Wang, H.",unknown,2018
,99,Speed Up Big Data Analytics by Unveiling the Storage Distribution of Sub-Datasets,"Wang, J.; Zhang, X.; Yin, J.; Wang, R.; Wu, H.; Han, D.",unknown,2018
,100,Predictive analytics using big data for increased customer loyalty: Syriatel Telecom Company case study,"Wassouf, Wissam Nazeer",Springer Nature,2020
,1,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,2,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,3,XDataExplorer: A Three-Stage Comprehensive Self-Tuning Tool for Big Data Platforms,"Guo, Qing","Elsevier Science B.V., Amsterdam",2022
,4,Call for Special Issue Papers: Multimedia Big Data Analytics for Engineering Education,"Kumar, Priyan Malarvizhi; Pandey, Hari Mohan; Srivastava, Gautam",Mary Ann Leibert,2020
,5,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,6,Remotely sensed big data for the oceans and polar regions,"Li, Xiao-Ming",John Wiley & Sons Ltd,2022
,7,STGI：a spatio-temporal grid index model for marine big data,"Qu, Tengteng; Wang, Lizhe; Yu, Jian; Yan, Jining; Xu, Guilin; Li, Meng; Cheng, Chengqi; Hou, Kaihua; Chen, Bo",John Wiley & Sons Ltd,2020
,8,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,9,"Big data analysis of swimming pools' impact on household electric intensity in San Antonio, Texas","Elnakat, Afamia; Gomez, Juan D.; Roberts, Jason; Wright, Martha",Inderscience,2015
,10,Fine Clustering Analysis of Internet Financial Credit Investigation Based on Big Data,"Sun, Jingqi","Elsevier Science B.V., Amsterdam",2022
,11,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,12,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,13,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,14,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd",Mary Ann Leibert,2021
,15,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,16,Big Multimodal Data Analysis: Models and Performance Analysis,"Jeon, Gwanggil",Mary Ann Leibert,2022
,17,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,18,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,19,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,20,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd; Tawalbeh, Lo'ai; Maleh, Yassine; Saldamli, Gokay",Mary Ann Leibert,2021
,21,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,22,Toward Business Process Innovation in the Big Data Era: A Mediating Role of Big Data Knowledge Management,"Saide, Saide; Sheng, Margaret L.",Mary Ann Leibert,2020
,23,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,24,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,25,Big data actionable intelligence architecture,"Ma, Tian J.",Springer Nature,2020
,26,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,27,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2022
,28,A Novel Big Data Approach for Record and Represent Compliance in the Covid-19 Era,"Giacalone, M.","Elsevier Science B.V., Amsterdam",2022
,29,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,30,Online Analytical Processing for Business Intelligence in Big Data,"Patel, Jigna Ashish; Sharma, Priyanka",Mary Ann Leibert,2020
,31,Big Data Applications in Guangzhou Restaurants Analysis,"Chang, Victor; Ji, Ziyang; Xu, Qianwen Ariel",Mary Ann Leibert,2021
,32,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,33,Call for Special Issue Papers: Big Data Analytics in Industrial Intelligence,"Tsai, Sang-Bing; Wu, Chia-Huei; Qi, Lianyong",Mary Ann Leibert,2022
,34,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,35,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,36,Evaluating associative classification algorithms for Big Data,"Padillo, Francisco",Springer Nature,2019
,37,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,38,Big data in support of the sustainable development goals (continued): a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS),"Guo, Huadong; Hackmann, Heide; Gong, Ke",John Wiley & Sons Ltd,2021
,39,Exploring relationships between medical college rankings and performance with big data,"Rao, A.",Springer Nature,2019
,40,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,41,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,"García-Vico, Ángel",Springer Nature,2019
,42,Exploiting Reused-Based Sharing Work Opportunities in Big Data Multiquery Optimization with Flink,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2021
,43,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2021
,44,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,45,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,46,"Big Data, Efficient Markets, and the End of Daily Fantasy Sports As We Know It?","Urbaczewski, Andrew; Elmore, Ryan",Mary Ann Leibert,2018
,47,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"Din, Sadia; Aslan, Nauman; Cheung, Simon K.S.; Hasan, Khondker",Mary Ann Leibert,2020
,48,Toward a General Framework for Multimodal Big Data Analysis,"Bellandi, Valerio",Mary Ann Leibert,2022
,49,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,50,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,51,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,"García-Gil, Diego; Ramírez-Gallego, Sergio; García, Salvador; Herrera, Francisco",Springer Nature,2017
,52,Spatial patterns of urban green space and its actual utilization status in China based on big data analysis,"Huang, Yiyi; Lin, Tao; Zhang, Guoqin; Zhu, Yongguan; Zeng, Zhiwei; Ye, Hong",John Wiley & Sons Ltd,2021
,53,Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs,"Mihály, Szabolcs; Remetey-Fülöpp, Gábor; Kristóf, Dániel; Czinkóczky, Anna; Palya, Tamás; Pásztor, László; Rudan, Pál; Szabó, György; Zentai, László",John Wiley & Sons Ltd,2021
,54,Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals,"Kulmala, Markku; Lintunen, Anna; Ylivinkka, Ilona; Mukkala, Janne; Rantanen, Rosa; Kujansuu, Joni; Petäjä, Tuukka; Lappalainen, Hanna K.",John Wiley & Sons Ltd,2021
,55,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,56,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,57,"On the Unstructured Big Data Analytical Methods in Firms: Conceptual Model, Measurement, and Perception","Tarka, Piotr; Jędrych, Elżbieta",Mary Ann Leibert,2020
,58,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,59,Call for Special Issue Papers: Big Data and the Internet-of-Things in Complex Information Systems: Selections from IoTBDS 2022 and COMPLEXIS 2022,"Chang, Victor; Kacsuk, Péter; Wills, Gary; Behringer, Reinhold",Mary Ann Leibert,2022
,60,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,61,Overcoming Resistance to Big Data and Operational Changes Through Interactive Data Visualization,"Phillips-Wren, Gloria; McKniff, Sueanne",Mary Ann Leibert,2020
,62,Internet of Things-Based Optimized Routing and Big Data Gathering System for Landslide Detection,"Menon, Varun G.; Verma, Sandeep; Kaur, Satnam; Sehdev, Paramjit S.",Mary Ann Leibert,2021
,63,Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare,"Wang, Gai-Ge; Gao, Xiao-Zhi; Pei, Yan",Mary Ann Leibert,2022
,64,Big Data in Business: A Bibliometric Analysis of Relevant Literature,"Nobanee, Haitham",Mary Ann Leibert,2020
,65,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,66,MonkeyKing: Adaptive Parameter Tuning on Big Data Platforms with Deep Reinforcement Learning,"Du, Haizhou; Han, Ping; Xiang, Qiao; Huang, Sheng",Mary Ann Leibert,2020
,67,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,68,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,69,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,70,Big data analytics capability for digital transformation in the insurance sector,"Moturi, Christopher A.; Okemwa, Vincent O.; Orwa, Daniel O.",Inderscience,2021
,71,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,72,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,73,"Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)","Carta, Silvio",Mary Ann Leibert,2019
,74,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,75,A Big Data Application for Energy Consumption Management of Commercial Buildings,"Al Muhaysh, Sarah Abdullah;Al Salem, Thanaa Saad;Al Jaafari, Fatimah Abdullah;Hussain, Al Anoud Saleem Al ShaikhKhwaja, Amir Ali",IGI Publishing,2021
,76,Sorting big data by revealed preference with application to college ranking,"Hu, Xingwei",Springer Nature,2020
,77,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,78,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,79,Leveraging Big Data analytics - case of Kenyan telecoms,"Moturi, Christopher A.; Karuga, Esther W.; Orwa, Daniel O.",Inderscience,2021
,80,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,81,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,82,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,83,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,84,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,85,Clustering Big Spatiotemporal-Interval Data,"Shao, W.; Salim, F. D.; Song, A.; Bouguettaya, A.",unknown,2016
,86,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,87,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Seyedan, Mahya",Springer Nature,2020
,88,Application of big data analytics and organizational performance: the mediating role of knowledge management practices,"Shabbir, Muhammad Qasim",Springer Nature,2020
,89,"Visualizing and Evaluating Interdependent Regional Traffic Congestion and System Resiliency, a Case Study Using Big Data from Probe Vehicles","Brennan, Thomas M.",Springer Nature,2019
,90,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2017
,91,Analyzing Bangkok city taxi ride: reforming fares for profit sustainability using big data driven model,"Phiboonbanakit, Thananut",Springer Nature,2021
,92,An overview of recent distributed algorithms for learning fuzzy models in Big Data classification,"Ducange, Pietro",Springer Nature,2020
,93,Current landscape and influence of big data on finance,"Hasan, Md. Morshadul",Springer Nature,2020
,94,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,"Leevy, Joffrey L.",Springer Nature,2020
,95,A Perspective on the Challenges and Opportunities for Privacy-Aware Big Transportation Data,"Badu-Marfo, Godwin",Springer Nature,2019
,96,Understanding the development trends of big data technologies: an analysis of patents and the cited scholarly works,"Saheb, Tahereh",Springer Nature,2020
,97,Guest Editorial: Big Data Analytics and the Web,"Sheng, M.; Vasilakos, A. V.; Yu, Q.; You, L.",unknown,2016
,98,Guest Editorial: Big Data Infrastructure I,"Chen, J.; Wang, H.",unknown,2018
,99,Speed Up Big Data Analytics by Unveiling the Storage Distribution of Sub-Datasets,"Wang, J.; Zhang, X.; Yin, J.; Wang, R.; Wu, H.; Han, D.",unknown,2018
,100,Predictive analytics using big data for increased customer loyalty: Syriatel Telecom Company case study,"Wassouf, Wissam Nazeer",Springer Nature,2020
,1,Preventive healthcare policies in the US: solutions for disease management using Big Data Analytics,"Batarseh, Feras A.",Springer Nature,2020
,2,A Cyberinfrastructure for Big Data Transportation Engineering,"Islam, Md Johirul",Springer Nature,2019
,3,Mitigating Bias in Big Data for Transportation,"Griffin, Greg P.",Springer Nature,2020
,4,A comprehensive survey of anomaly detection techniques for high dimensional big data,"Thudumu, Srikanth",Springer Nature,2020
,5,Impact of rail transit station proximity to commercial property prices: utilizing big data in urban real estate,"Berawi, Mohammed Ali",Springer Nature,2020
,6,Extending reference architecture of big data systems towards machine learning in edge computing environments,"Pääkkönen, P.",Springer Nature,2020
,7,Cooperative co-evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,8,Sleep stage classification using extreme learning machine and particle swarm optimization for healthcare big data,"Surantha, Nico",Springer Nature,2021
,9,Guest Editorial: Big Data Analytics and the Web,"Sheng, Q. Z.; Vasilakos, A. V.; Yu, Q.; Yao, L.",unknown,2015
,10,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2016
,11,Anomaly detection optimization using big data and deep learning to reduce false-positive,"Al Jallad, Khloud",Springer Nature,2020
,12,CoPart: a context-based partitioning technique for big data,"Migliorini, Sara",Springer Nature,2021
,13,Predictors of outpatients' no-show: big data analytics using apache spark,"Daghistani, Tahani",Springer Nature,2020
,14,Correction to: Cooperative co‑evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,15,Investigating class rarity in big data,"Hasanin, Tawfiq",Springer Nature,2020
,16,Leveraging machine learning and big data for optimizing medication prescriptions in complex diseases: a case study in diabetes management,"Hosseini, Mahsa Madani",Springer Nature,2020
,17,Social Media Driven Big Data Analysis for Disaster Situation Awareness: A Tutorial,"Pal, Amitangshu",unknown,2022
,18,Current trends in predictive analytics of big data,"Wlodarczyk, Tomasz Wiktor; Hacker, Thomas J.",Inderscience,2014
,19,Approximate Clustering Ensemble Method for Big Data,"Mahmud, Mohammad Sultan",unknown,2023
,20,Kvasir: Scalable Provision of Semantically Relevant Web Content on Big Data Framework,"Wang, L.; Tasoulis, S.; Roos, T.; Kangasharju, J.",unknown,2016
,21,Deduplication on Encrypted Big Data in Cloud,"Yan, Z.; Ding, W.; Yu, X.; Zhu, H.; Deng, R. H.",unknown,2016
,22,Petuum: A New Platform for Distributed Machine Learning on Big Data,"Xing, E. P.; Ho, Q.; Dai, W.; Kim, J. K.; Wei, J.; Lee, S.; Zheng, X.; Xie, P.; Kumar, A.; Yu, Y.",unknown,2015
,23,A Lightweight Matrix Factorization for Recommendation With Local Differential Privacy in Big Data,"Zhou, Hao",unknown,2021
,24,A survey and development on context-aware monitoring in healthcare with big data,"Reeja, S.R.; Baig, Murthuza Ali; Cherian, Rino; Jothimani, K.",Inderscience,2020
,25,A Structured Approach Towards Big Data Identification,"Ahmed, Hameeza",unknown,2021
,26,Strategic Perspective on Challenges and Opportunities in Big Data Management,"Baporikar, NeetaMusti, K. S. Sastry",IGI Publishing,2022
,27,Metagraph-Based Life Pattern Clustering With Big Human Mobility Data,"Li, Wenjing",unknown,2022
,28,Availability modelling and assurance for a big data computing,"Ke, Zuqiang; Park, Nohpill",Inderscience,2019
,29,Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark,"Bharill, N.; Tiwari, A.; Malviya, A.",unknown,2016
,30,AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data,"Tuarob, S.; Bhatia, S.; Mitra, P.; Giles, C. L.",unknown,2016
,31,A Hierarchical Distributed Processing Framework for Big Image Data,"Dong, L.; Lin, Z.; Liang, Y.; He, L.; Zhang, N.; Chen, Q.; Cao, X.; Izquierdo, E.",unknown,2016
,32,Guest Editorial: Special Issue on Big Scholar Data Discovery and Collaboration (Continued),"Lin, Y.; Tong, H.; Tang, J.; Selcuk Candan, K.",unknown,2016
,33,Fast approaches for semantic service composition in big data environment,"Huang, Jun; Zhou, Yide; Duan, Qiang; Xing, Cong-Cong",Inderscience,2019
,34,A concentric framework for leveraging big data for business value,"Chuang, Ta-Tao; Nakatani, Kazuo; Patil, Vivek H.",Inderscience,2020
,35,Deep Learning-Based Service Discovery for Business Process Re-Engineering in the Era of Big Data,Bo Jiang; Junwu Chen; Ye Wang; Liping Zhao; Pengxiang Liu,IGI Publishing,2020
,36,A hybrid neuro-fuzzy technique to overcome clustering approach issues in big data,"Maithri, C.",Inderscience,2023
,37,PaloPro: a platform for knowledge extraction from big social data and the news,"Makrynioti, Nantia; Grivas, Andreas; Sardianos, Christos; Tsirakis, Nikos; Varlamis, Iraklis; Vassalos, Vasilis; Poulopoulos, Vassilis; Tsantilas, Panagiotis",Inderscience,2017
,38,Qualitative study on barriers of adopting big data analytics for UK SMEs,"Willetts, Matthew",Inderscience,2023
,39,Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things,"Hosseini, M.; Pompili, D.; Elisevich, K.; Soltanian-Zadeh, H.",unknown,2017
,40,Thermal-Aware and DVFS-Enabled Big Data Task Scheduling for Data Centers,"Liu, H.; Liu, B.; Yang, L. T.; Lin, M.; Deng, Y.; Bilal, K.; Khan, S. U.",unknown,2018
,41,Smart Monitoring Cameras Driven Intelligent Processing to Big Surveillance Video Data,"Shao, Z.; Cai, J.; Wang, Z.",unknown,2018
,42,Distributed Feature Selection for Efficient Economic Big Data Analysis,"Zhao, L.; Chen, Z.; Hu, Y.; Min, G.; Jiang, Z.",unknown,2018
,43,An Enhanced Visualization Method to Aid Behavioral Trajectory Pattern Recognition Infrastructure for Big Longitudinal Data,"Fang, H.; Zhang, Z.",unknown,2018
,44,Structural Balance Theory-Based E-Commerce Recommendation over Big Rating Data,"Qi, L.; Xu, X.; Zhang, X.; Dou, W.; Hu, C.; Zhou, Y.; Yu, J.",unknown,2018
,45,Does the use of big data make the websites more innovative? Evidence from the UAE,"Zaman, Mustafeed",Inderscience,2023
,46,HDM: A Composable Framework for Big Data Processing,"Wu, D.; Zhu, L.; Lu, Q.; Sakr, S.",unknown,2018
,47,A reference architecture for big data solutions - introducing a model to perform predictive analytics using big data technology,"Geerdink, Bas",Inderscience,2015
,48,Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network,"Zhang, D.; He, T.; Lin, S.; Munir, S.; Stankovic, J. A.",unknown,2017
,49,An Extended Spatio-Temporal Granger Causality Model for Air Quality Estimation with Heterogeneous Urban Big Data,"Zhu, J. Y.; Sun, C.; Li, V. O.",unknown,2017
,50,Online Similarity Learning for Big Data with Overfitting,"Cong, Y.; Liu, J.; Fan, B.; Zeng, P.; Yu, H.; Luo, J.",unknown,2018
,51,Parallel computing for preserving privacy using k-anonymisation algorithms from big data,"Yaji, Sharath; Neelima, B.",Inderscience,2018
,52,Hybridisation of classifiers for anomaly detection in big data,"Alguliyev, Rasim M.; Aliguliyev, Ramiz M.; Abdullayeva, Fargana Jabbar",Inderscience,2019
,53,Towards Max-Min Fair Resource Allocation for Stream Big Data Analytics in Shared Clouds,"Jiang, Y.; Huang, Z.; Tsang, D. H.",unknown,2018
,54,A five-layer architecture for big data processing and analytics,"Zhu, Julie Yixuan; Tang, Bo; Li, Victor O.K.",Inderscience,2019
,55,Resting-State fMRI Functional Connectivity: Big Data Preprocessing Pipelines and Topological Data Analysis,"Phinyomark, A.; Ibanez-Marcelo, E.; Petri, G.",unknown,2017
,56,NoSQL databases for big data,"Oussous, Ahmed; Benjelloun, Fatima-Zahra; Lahcen, Ayoub Ait; Belfkih, Samir",Inderscience,2017
,57,Towards a real-time big data analytics platform for health applications,"Chrimes, Dillon; Kuo, Mu-Hsing; Moa, Belaid; Hu, Wei",Inderscience,2017
,58,2017 Index IEEE Transactions on Big Data Vol. 3,unknown,unknown,2018
,59,Classification and comparison of NoSQL big data models,"Sharma, Sugam; Tim, Udoyara Sunday; Gadia, Shashi; Wong, Johnny; Shandilya, Ritu; Peddoju, Sateesh K.",Inderscience,2015
,60,Corporate governance fraud detection from annual reports using big data analytics,"Sadasivam, G. Sudha; Subrahmanyam, Mutyala; Himachalam, Dasaraju; Pinnamaneni, Bhanu Prasad; Lakshme, S. Maha",Inderscience,2016
,61,A platform for big data analytics on distributed scale-out storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,62,A Survey on Prediction Using Big Data Analytics,"Supriya, M.Deepa, A. J.",IGI Publising,2017
,63,Perceptions of independent financial advisors on the usefulness of big data in the context of decision making in the UK,"Grishikashvili, Ketty; Bechter, Clemens",Inderscience,2019
,64,Real Time Analysis Based on Intelligent Applications of Big Data and IoT in Smart Health Care Systems,"Rath, Mamata",IGI Publising,2018
,65,A review on ethical concerns in big data management,"Nair, Suja R.",Inderscience,2020
,66,2016 Index IEEE Transactions on Big Data Vol. 2,unknown,unknown,2017
,67,Towards quality-of-service driven consistency for Big Data management,"García-Recuero, Álvaro; Esteves, Sérgio; Veiga, Luís",Inderscience,2014
,68,DiP-SVM : Distribution Preserving Kernel Support Vector Machine for Big Data,"Singh, D.; Roy, D.; Mohan, C. K.",unknown,2017
,69,Classifying UNSW-NB15 Network Traffic in the Big Data Framework Using Random Forest in Spark,"Bagui, Sikha;Simonds, Jason;Plenkers, Russell;Bennett, Timothy A.Bagui, Subhash",IGI Publishing,2021
,70,Towards quality-of-service driven consistency for Big Data management,"García-Recuero, Álvaro; Esteves, Sérgio; Veiga, Luís",Inderscience,2014
,71,The role of big data analytics in personalised servicers - the case of Sri Lankan banking sector,"Surangi, H.A.K.N.S.",Inderscience,2023
,72,Toward Efficient and Flexible Metadata Indexing of Big Data Systems,"Zhao, D.; Qiao, K.; Zhou, Z.; Li, T.; Lu, Z.; Xu, X.",unknown,2017
,73,A platform for big data analytics on distributed scaleout storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,74,Large-scale spectral clustering for managing big data in healthcare operations,"Liu, Maoqing; Fard, Nasser; Sadeghzadeh, Keivan",Inderscience,2017
,75,A survey on big data processing infrastructure: evolving role of FPGA,"Nunna, Krishna Chaitanya; Mehdipour, Farhad; Trouvé, Antoine; Murakami, Kazuaki J.",Inderscience,2015
,76,A Multi-Branch Decoder Network Approach to Adaptive Temporal Data Selection and Reconstruction for Big Scientific Simulation Data,"Zhang, Yang",unknown,2022
,77,Secure multi-owner-based cloud computing scheme for big data,"Al-Shablan, Maram; Tian, Yuan; Al-Rodhaan, Mznah",Inderscience,2016
,78,Memory Scaling of Cloud-Based Big Data Systems: A Hybrid Approach,"Wang, Xinying",unknown,2022
,79,GSio: A programmatic interface for delivering Big Earth data-as-a-service,"Larraondo, Pablo R.; Pringle, Sean; Guo, Jian; Antony, Joseph; Evans, Ben",John Wiley & Sons Ltd,2017
,80,A view-based model of data-cube to support big earth data systems interoperability,"Nativi, Stefano; Mazzetti, Paolo; Craglia, Max",John Wiley & Sons Ltd,2017
,81,Big Earth Data: a comprehensive analysis of visualization analytics issues,"Merritt, Patrick; Bi, Haixia; Davis, Bradley; Windmill, Christopher; Xue, Yong",John Wiley & Sons Ltd,2018
,82,Big Earth data: A new frontier in Earth and information sciences,"Guo, Huadong",John Wiley & Sons Ltd,2017
,83,"Geospatial semantics, ontology and knowledge graphs for Big Earth data","Zhu, Yunqiang",John Wiley & Sons Ltd,2019
,84,"The visual analytics of big, open public transport data – a framework and pipeline for monitoring system performance in Greater Sydney","Lock, Oliver; Bednarz, Tomasz; Pettit, Christopher",John Wiley & Sons Ltd,2021
,85,Innovative approaches to the Sustainable Development Goals using Big Earth Data,"Guo, Huadong; Liang, Dong; Chen, Fang; Shirazi, Zeeshan",John Wiley & Sons Ltd,2021
,86,Stewardship and analysis of big Earth observation data,"Wang, Lizhe; Yan, Jining",John Wiley & Sons Ltd,2020
,87,Evaluating the role of partnerships in increasing the use of big Earth data to support the Sustainable Development Goals: an Australian perspective,"Mohamed-Ghouse, Zaffar Sadiq; Desha, Cheryl; Rajabifard, Abbas; Blicavs, Michelle; Martin, Graeme",John Wiley & Sons Ltd,2021
,88,Big Earth data facilitates sustainable development goals,"Guo, Huadong",John Wiley & Sons Ltd,2020
,89,A generalized supervised classification scheme to produce provincial wetland inventory maps: an application of Google Earth Engine for big geo data processing,"Amani, Meisam; Brisco, Brian; Afshar, Majid; Mirmazloumi, S. Mohammad; Mahdavi, Sahel; Mirzadeh, Sayyed Mohammad Javad; Huang, Weimin; Granger, Jean",John Wiley & Sons Ltd,2019
,90,Analytics of big geosocial media and crowdsourced data,"Li, Songnian; Wachowicz, Monica; Fan, Hongchao",John Wiley & Sons Ltd,2021
